plant,customer,distance,locations
plant_1,customer_1,843.18,"[-97.400281, 33.119504]"
plant_1,customer_2,1252.82,"[-104.146281, 34.045009]"
plant_1,customer_4,227.88,"[-86.024723, 33.64755]"
plant_1,customer_5,1304.46,"[-104.642711, 32.647087]"
plant_1,customer_10,233.33,"[-81.36037, 36.622746]"
plant_1,customer_14,901.05,"[-98.399894, 33.51573]"
plant_1,customer_15,510.35,"[-77.695401, 38.979039]"
plant_1,customer_21,655.06,"[-94.272464, 33.879494]"
plant_1,customer_24,625.57,"[-85.393407, 43.555699]"
plant_1,customer_26,245.81,"[-88.470236, 35.887553]"
plant_1,customer_27,189.95,"[-85.306892, 34.05084]"
plant_1,customer_28,48.48,"[-84.385289, 36.603522]"
plant_1,customer_31,510.63,"[-91.070835, 33.294127]"
plant_1,customer_33,279.02,"[-89.146373, 35.576094]"
plant_1,customer_42,918.4,"[-98.985873, 34.036948]"
plant_1,customer_44,307.62,"[-88.339312, 34.56966]"
plant_1,customer_45,140.05,"[-85.3432, 34.674826]"
plant_1,customer_49,199.77,"[-86.15226, 34.385553]"
plant_1,customer_51,512.76,"[-79.380349, 40.028771]"
plant_1,customer_52,513.31,"[-79.875215, 40.158978]"
plant_1,customer_55,82.7,"[-83.641023, 35.814402]"
plant_1,customer_61,595.32,"[-93.824881, 34.072716]"
plant_1,customer_65,1193.75,"[-102.589507, 33.911307]"
plant_1,customer_67,1050.8,"[-100.85088, 32.629017]"
plant_1,customer_68,344.73,"[-88.004147, 33.014059]"
plant_1,customer_71,570.23,"[-93.38638, 34.016592]"
plant_1,customer_74,351.41,"[-89.813252, 36.701256]"
plant_1,customer_78,1082.2,"[-101.13903, 34.352121]"
plant_1,customer_80,615.14,"[-94.282043, 34.307716]"
plant_1,customer_82,556.52,"[-91.48747, 32.820359]"
plant_1,customer_86,137.32,"[-84.966037, 34.754311]"
plant_1,customer_87,286.75,"[-87.481247, 34.346046]"
plant_1,customer_88,766.62,"[-96.375459, 33.061658]"
plant_1,customer_90,213.19,"[-87.599853, 36.929183]"
plant_1,customer_92,236.48,"[-88.057566, 36.699237]"
plant_1,customer_97,612.46,"[-94.150853, 34.162888]"
plant_1,customer_100,356.94,"[-88.143854, 32.701764]"
